date,description,amount
01/07/2024,SALARY PAYMENT,4200.00
03/07/2024,ADOBE CREATIVE CLOUD SUBS,-87.49
04/07/2024,OFFICEWORKS 0084 COLLINGWOOD,-43.50
05/07/2024,WOOLWORTHS 3142 RICHMOND,-67.43
08/07/2024,ZOOM VIDEO COMMUNICATIONS,-21.99
09/07/2024,NETFLIX.COM,-22.99
11/07/2024,MICROSOFT 365 SUBSCRIPTION,-119.00
12/07/2024,CANVA PTY LTD,-16.99
15/07/2024,COLES SUPERMARKET 4521,-52.18
16/07/2024,OFFICEWORKS ONLINE STORE,-28.75
17/07/2024,UBER EATS MELBOURNE,-34.20
19/07/2024,GITHUB INC,-10.00
22/07/2024,JB HI-FI ONLINE STORE,-149.00
24/07/2024,BP FUEL AUBURN,-82.40
26/07/2024,CHEMIST WAREHOUSE RICHMOND,-24.90
29/07/2024,GOOGLE WORKSPACE,-17.00
30/07/2024,STAN ENTERTAINMENT,-12.00
31/07/2024,REFUND OFFICEWORKS,43.50
