date,description,amount
01/06/2024,ADOBE CREATIVE CLOUD,-87.49
,WOOLWORTHS SUPERMARKET,-54.20
03/06/2024,ZOOM SUBSCRIPTION,-21.99
32/06/2024,MICROSOFT 365,-119.00
05/06/2024,OFFICEWORKS BRUNSWICK,-34.50
06/06/2024,SLACK TECHNOLOGIES,not-a-number
07/06/2024,SALARY PAYMENT,3950.00
08/06/2024,,-22.99
09/06/2024,NETFLIX SUBSCRIPTION,-22.99
10/06/2024,GITHUB INC,-10.00
11/06/2024,JB HI-FI ONLINE,-199.00
12/06/2024,OFFICEWORKS ONLINE,
13/06/2024,CANVA PTY LTD,-16.99
14/06/2024,COLES SUPERMARKET,-67.80
15/06/2024,AMAZON AU MARKETPLACE,-89.99
